2025-09-20 23:53:48,821 [INFO] [RESET] server_t=1760 local_t=6740 ms | Agent 2 | Voting list reset for cycle 4
2025-09-20 23:53:48,821 [INFO] [RESET] server_t=1760 local_t=6740 ms | Agent 6 | Voting list reset for cycle 4
2025-09-20 23:53:48,821 [INFO] [RESET] server_t=1760 local_t=6740 ms | Agent 10 | Voting list reset for cycle 4
2025-09-20 23:53:48,821 [INFO] [RESET] server_t=1760 local_t=6740 ms | Agent 1 | Voting list reset for cycle 4
2025-09-20 23:53:48,821 [INFO] [RESET] server_t=1760 local_t=6740 ms | Agent 9 | Voting list reset for cycle 4
2025-09-20 23:53:48,821 [INFO] [CYCLE_COMPLETE] Agent 8 | Cycle 3 | Voting list: [{'sender': 3}, {'sender': 9}, {'sender': 10}, {'sender': 1}, {'sender': 6}, {'sender': 8}, {'sender': 7}, {'sender': 2}]
2025-09-20 23:53:48,821 [INFO] [RESET] server_t=1760 local_t=6740 ms | Agent 8 | Voting list reset for cycle 4
2025-09-20 23:53:48,822 [INFO] [CYCLE_COMPLETE] Agent 4 | Cycle 3 | Voting list: [{'sender': 8}, {'sender': 4}, {'sender': 9}, {'sender': 10}, {'sender': 1}, {'sender': 6}, {'sender': 7}, {'sender': 2}]
2025-09-20 23:53:48,823 [INFO] [RESET] server_t=1760 local_t=6700 ms | Agent 4 | Voting list reset for cycle 4
2025-09-20 23:53:48,825 [INFO] [CYCLE_COMPLETE] Agent 3 | Cycle 3 | Voting list: [{'sender': 8}, {'sender': 9}, {'sender': 10}, {'sender': 1}, {'sender': 6}, {'sender': 3}, {'sender': 7}, {'sender': 2}]
2025-09-20 23:53:48,825 [INFO] [RESET] server_t=1760 local_t=6700 ms | Agent 3 | Voting list reset for cycle 4
2025-09-20 23:53:48,827 [INFO] [CYCLE_COMPLETE] Agent 7 | Cycle 3 | Voting list: [{'sender': 8}, {'sender': 9}, {'sender': 10}, {'sender': 1}, {'sender': 6}, {'sender': 7}, {'sender': 2}]
2025-09-20 23:53:48,827 [INFO] [RESET] server_t=1760 local_t=6740 ms | Agent 7 | Voting list reset for cycle 4
2025-09-20 23:53:50,126 [INFO] [CYCLE_COMPLETE] Agent 10 | Cycle 4 | Voting list: [{'sender': 7}, {'sender': 8}, {'sender': 9}, {'sender': 10}, {'sender': 2}, {'sender': 3}, {'sender': 6}, {'sender': 4}]
2025-09-20 23:53:50,126 [INFO] [CYCLE_COMPLETE] Agent 2 | Cycle 4 | Voting list: [{'sender': 7}, {'sender': 8}, {'sender': 9}, {'sender': 2}, {'sender': 10}, {'sender': 3}, {'sender': 6}, {'sender': 4}]
2025-09-20 23:53:50,126 [INFO] [CYCLE_COMPLETE] Agent 8 | Cycle 4 | Voting list: [{'sender': 7}, {'sender': 8}, {'sender': 9}, {'sender': 2}, {'sender': 3}, {'sender': 6}, {'sender': 10}, {'sender': 4}]
2025-09-20 23:53:50,126 [INFO] [RESET] server_t=2200 local_t=7180 ms | Agent 8 | Voting list reset for cycle 5
2025-09-20 23:53:50,126 [INFO] [RESET] server_t=2200 local_t=7180 ms | Agent 10 | Voting list reset for cycle 5
2025-09-20 23:53:50,126 [INFO] [RESET] server_t=2200 local_t=7180 ms | Agent 2 | Voting list reset for cycle 5
2025-09-20 23:53:50,130 [INFO] [CYCLE_COMPLETE] Agent 9 | Cycle 4 | Voting list: [{'sender': 7}, {'sender': 8}, {'sender': 9}, {'sender': 2}, {'sender': 3}, {'sender': 6}, {'sender': 10}, {'sender': 4}]
2025-09-20 23:53:50,130 [INFO] [CYCLE_COMPLETE] Agent 1 | Cycle 4 | Voting list: [{'sender': 7}, {'sender': 8}, {'sender': 9}, {'sender': 2}, {'sender': 3}, {'sender': 6}, {'sender': 10}, {'sender': 4}]
2025-09-20 23:53:50,131 [INFO] [RESET] server_t=2200 local_t=7180 ms | Agent 9 | Voting list reset for cycle 5
2025-09-20 23:53:50,131 [INFO] [RESET] server_t=2200 local_t=7180 ms | Agent 1 | Voting list reset for cycle 5
2025-09-20 23:53:50,131 [INFO] [CYCLE_COMPLETE] Agent 4 | Cycle 4 | Voting list: [{'sender': 7}, {'sender': 8}, {'sender': 9}, {'sender': 2}, {'sender': 3}, {'sender': 4}, {'sender': 6}, {'sender': 10}]
2025-09-20 23:53:50,131 [INFO] [RESET] server_t=2200 local_t=7140 ms | Agent 4 | Voting list reset for cycle 5
2025-09-20 23:53:50,133 [INFO] [CYCLE_COMPLETE] Agent 7 | Cycle 4 | Voting list: [{'sender': 4}, {'sender': 8}, {'sender': 9}, {'sender': 2}, {'sender': 3}, {'sender': 6}, {'sender': 7}, {'sender': 10}]
2025-09-20 23:53:50,133 [INFO] [RESET] server_t=2200 local_t=7180 ms | Agent 7 | Voting list reset for cycle 5
